	en	fr	es	el	it	ar	de	ja
navbar_tools	Tools	Outils	Herramientas	Εργαλεία	Strumenti	الأدوات	Werkzeuge	ツール
navbar_analysis_video	Video analysis	Analyse Vidéo	Análisis de vídeo	Βίντεο ανάλυση	Analisi video	تحليل الفيديو	Videoanalyse	動画解析
navbar_analysis_image	Image analysis	Analyse d'image	Análisis de imagen	ανάλυση εικόνας	Analisi dell'immagine	تحليل الصور	Bildanalyse	画像解析
navbar_keyframes	Keyframes	Images clés	Fotogramas clave	Χαρακτηριστικά καρέ	Fotogrammi chiave	إطارات المفاتيح	Keyframes	キーフレーム
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	Μικρογραφίες	Thumbnails	الصورة المصغرة (صورة الغلاف)	Thumbnails	サムネイル
navbar_twitter	X search	Recherche X	Búsqueda X	X Αναζήτηση	X Ricerca	البحث في إكس	X-Suche	X検索
navbar_magnifier	Magnifier	Loupe	Lupa	Μεγεθυντικός φακός	Lente d'ingrandimento	المكبر	Lupe	拡大鏡
navbar_metadata	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ
navbar_metadata_video	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ
navbar_metadata_image	Metadata	Metadonnées	Metadatos	Μεταδεδομένα	Metadati	البيانات الوصفية	Metadaten	メタデータ
navbar_rights	Video rights	Droits vidéo	Derechos del video	Βίντεο δικαιώματα	Diritti video	حقوق الفيديو	Videorechte	動画の権利
navbar_forensic	Forensic	Forensic	Forensic	Αυθεντικότητα εικόνων	Forensic	التحقق الرقمي	Forensische Untersuchung	フォレンジック
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Netzwerkanalyse Twitter/X	ツイッターSNA.
navbar_ocr	OCR	OCR	OCR	OCR	OCR	OCR	Texterkennung	OCR
navbar_covidsearch	Factchecks	Factchecks	Factchecks	Ελέγχοι	FactChecks	تدقيق المعلومات	Faktenchecks	ファクトチェック
navbar_xnetwork	XNetwork	XNetwork	XNetwork	XNetwork	Xnetwork	Xnetwork	Mehrfachsuche	Xネットワーク
navbar_gif	CheckGif	CheckGif	CheckGif	CheckGif	Checkgif	CheckGif	Checkgif	CheckGif
navbar_twitter_sna_description	It performs social network analysis on Twitter (on registration; deprecated since July 1st 2023 due to X/Twitter code changes)	Fournit un outil d'analyse de réseau social sur X/Twitter (sur enregistrement; en panne depuis le 1er juillet 2023 à cause de changements de code chez Twitter)	Provee una herramiento de análisis de redes sociales en Twitter (con registro; fuera de servicio desde el 1 de Julio 2023 por un cambio de codigo de Twitter)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (με την εγγραφή, καταργήθηκε από την 1η Ιουλίου 2023 λόγω αλλαγών στον κώδικα Twitter)	Esegue l'analisi dei social network su Twitter (disponibile sulla registrazione; deprecato dal 1° luglio 2023 a causa delle modifiche al codice di Twitter)	يقوم بتحليل شبكة التواصل الاجتماعية تويتر (متاح عند التسجيل ؛ تم إيقاف العمل به منذ الأول من تموز (يوليو) 2023 بسبب تغييرات رمز تويتر)	Es führt eine soziale Netzwerkanalyse auf Twitter durch (Registrierung notwendig; seit dem 1. Juli 2023 aufgrund von Änderungen des Twitter-Codes verschlechtert).	Twitter でソーシャル ネットワーク分析を実行します (登録時。X/Twitter コード変更により 2023 年 7 月 1 日以降非推奨)
navbar_archiving	Archiving	Archivage	Archivo	Αρχειοθέτηση	Archivio	الأرشفة	Archivierung	アーカイブ
navbar_analysis_description	It brings you the contextual information of a Youtube or public Facebook video. Twitter does not work anymore due to their change of API policy.	Vous apporte les informations contextuelles d'une vidéo de Youtube ou vidéo publique de Facebook. Twitter ne fonctionne plus en raison d'un changement de politique d'accès à ses contenus.	Le ofrece la información del contexto de un vídeo de Youtube o vídeo publico de Facebook. Twitter dejo de funcionar debido a un cambio de politica de accesso.	Ανάλυση σας φέρνει την συναφείς πληροφορίες από το YouTube ή το Facebook βίντεο.	Ti porta le informazioni contestuali di un video Youtube o Facebook. Twitter non funziona più a causa di un cambiamento nella sua politica di accesso ai contenuti	يقدم لك المعلومات السياقية لفيديو يوتيوب أو فيسبوك عام. لا يعمل تويتر بعد الآن بسبب تغيير سياسة واجهة برمجة التطبيقات الخاصة بهم (API).	Liefert Ihnen den Kontext eines Videos auf Youtube oder Facebook. Twitter/X funktionert aufgrund einer Änderung ihrer API-Richtlinie nicht mehr.	Youtube や Facebook の公開ビデオのコンテキスト情報を提供します。 Twitter は API ポリシーの変更により機能しなくなりました。
navbar_analysis_image_description	It brings you contextual information of an image posted on Facebook.	Vous apporte des informations contextuelles de photos postées sur Facebook.	Le ofrece la información del contexto de una imagen en Facebook.	Η ανάλυση εικόνας σας φέρνει την συναφείς πληροφορίες μιας εικόνας	Ti fornische immagini contestuali su Facebook.	يوفر معلومات سياقية لصور منشورة على تويتر أو فيسبوك	Es bringt Ihnen kontextbezogene Informationen zu einem auf Facebook geposteten Bild.	Facebook に投稿された画像のコンテキスト情報を提供します。
navbar_keyframes_description	It fragments a YouTube or a Facebook public video into keyframes for reverse image search	Fragmente une vidéo de YouTube ou Facebook en images clés pour effectuer une recherche d'image inversée	Fragmenta un vídeo de YouTube o Facebook en fotogramas para realizar una búsqueda de imágenes inversa	θραύσματα Α YouTube ή Facebook σε πλαίσια για να σας βοηθήσει να εκτελέσετε αντίστροφη αναζήτηση εικόνων	Frammenta un video di YouTube, Facebook o Twitter o un file MP4 in fotogrammi chiave per la ricerca inversa di immagini	يقوم بتجزئة مقطع فيديو يوتيوب أو فيسبوك العام إلى إطارات مفتاحية للبحث العكسي عن الصور	Es teilt ein öffentliches Video auf Youtube oder Facebook in einzelne Keyframes, um mittels Rückwärtssuche danach zu suchen.	YouTube または Facebook の公開動画をキーフレームに分けて、画像検索します
navbar_thumbnails_description	It extracts and performs a reverse search of the thumbnails of a Youtube video	Extrait et effectue une recherche inverse des imagettes d'une vidéo de Youtube	Extrae y efectua una búsqueda inversa de las miniaturas de un vídeo de Youtube	Εξόρυξη και αντίστροφη αναζήτηση των thumbnails ενός βίντεο Youtube	Estrae ed esegue una ricerca inversa dei Thumbnails di un video di YouTube	يقوم باستخراج وإجراء بحث عكسي عن عناوين مقاطع فيديو يوتيوب	Extrahiert Thumbnails eines YouTube-Videos und führt eine Rückwärtssuche danach durch.	Youtube動画のサムネイルを抽出して逆検索します。
